"depth_1m","alpha"
1,0.00979482476919779
2,0.010003225296202
3,0.0102206867156847
4,0.0104478130871443
5,0.0106852633845794
6,0.0109337578818952
7,0.0111940854505118
8,0.0114671119249145
9,0.0117537897230373
10,0.012055168946705
11,0.0123724102347762
12,0.0127067997005809
13,0.0130597663589304
14,0.0134329025406141
15,0.0138279879094557
16,0.0142470178461059
17,0.0146922371537967
18,0.0151661802877901
19,0.0156717196307165
20,0.0162121237559136
21,0.0167911281757676
22,0.0174130218119072
23,0.0180827534200575
24,0.0188060635568598
25,0.0195896495383956
26,0.0204413734313693
27,0.0213705267691588
28,0.0223881709010235
29,0.0235075794460747
30,0.0247448204695523
31,0.0261195327178608
32,0.0276559758189114
33,0.0293844743075934
34,0.0313434392614329
35,0.0335822563515353
36,0.0361655068401149
37,0.0391792990767912
38,0.0427410535383176
39,0.0470151588921494
40,0.0522390654357216
41,0.0587689486151867
42,0.0671645127030706
43,0.0783585981535823
44,0.0940303177842988
45,0.117537897230373
46,0.156717196307165
47,0.235075794460747
47.5,0.313434392614329
48,0.470151588921494
48.5,0.940303177842988
