"Lake","Parameter","Value"
"Sc","DO_pc",80.32
"Sc","DO_mgL",6.957
"Sc","Depth_m",2
"Sc","T_C",22.27
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4014
"Sc","EC25_uScm",427.006
"Sc","Density_kgm3",997.876
"Sc","Chla_ugL",2.07
"Sc","Turbidity_FTU",1.32
"Sc","DO_pc",80.42
"Sc","DO_mgL",6.967
"Sc","Depth_m",2.1
"Sc","T_C",22.276
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4015
"Sc","EC25_uScm",427.076
"Sc","Density_kgm3",997.875
"Sc","Chla_ugL",1.89
"Sc","Turbidity_FTU",1.25
"Sc","DO_pc",80.2
"Sc","DO_mgL",6.948
"Sc","Depth_m",2.2
"Sc","T_C",22.26
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4012
"Sc","EC25_uScm",426.922
"Sc","Density_kgm3",997.879
"Sc","Chla_ugL",1.98
"Sc","Turbidity_FTU",1.25
"Sc","DO_pc",80.24
"Sc","DO_mgL",6.955
"Sc","Depth_m",2.3
"Sc","T_C",22.254
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4012
"Sc","EC25_uScm",426.994
"Sc","Density_kgm3",997.881
"Sc","Chla_ugL",2.15
"Sc","Turbidity_FTU",1.27
"Sc","DO_pc",80.08
"Sc","DO_mgL",6.941
"Sc","Depth_m",2.4
"Sc","T_C",22.239
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4009
"Sc","EC25_uScm",426.852
"Sc","Density_kgm3",997.885
"Sc","Chla_ugL",2.22
"Sc","Turbidity_FTU",1.31
"Sc","DO_pc",80.03
"Sc","DO_mgL",6.941
"Sc","Depth_m",2.5
"Sc","T_C",22.152
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4004
"Sc","EC25_uScm",427.208
"Sc","Density_kgm3",997.905
"Sc","Chla_ugL",2.04
"Sc","Turbidity_FTU",1.31
"Sc","DO_pc",80.02
"Sc","DO_mgL",6.951
"Sc","Depth_m",2.6
"Sc","T_C",22.091
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.4002
"Sc","EC25_uScm",427.604
"Sc","Density_kgm3",997.919
"Sc","Chla_ugL",2.09
"Sc","Turbidity_FTU",1.38
"Sc","DO_pc",79.97
"Sc","DO_mgL",6.958
"Sc","Depth_m",2.7
"Sc","T_C",22.02
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.3998
"Sc","EC25_uScm",427.883
"Sc","Density_kgm3",997.936
"Sc","Chla_ugL",2.22
"Sc","Turbidity_FTU",1.39
"Sc","DO_pc",79.64
"Sc","DO_mgL",6.938
"Sc","Depth_m",2.8
"Sc","T_C",21.933
"Sc","Salinity",0.205
"Sc","Cond_uScm",0.3996
"Sc","EC25_uScm",428.547
"Sc","Density_kgm3",997.957
"Sc","Chla_ugL",2.32
"Sc","Turbidity_FTU",1.21
"Sc","DO_pc",78.99
"Sc","DO_mgL",6.891
"Sc","Depth_m",2.9
"Sc","T_C",21.865
"Sc","Salinity",0.206
"Sc","Cond_uScm",0.3994
"Sc","EC25_uScm",429.018
"Sc","Density_kgm3",997.973
"Sc","Chla_ugL",2.36
"Sc","Turbidity_FTU",1.28
"Sc","DO_pc",78.17
"Sc","DO_mgL",6.833
"Sc","Depth_m",3
"Sc","T_C",21.808
"Sc","Salinity",0.206
"Sc","Cond_uScm",0.3992
"Sc","EC25_uScm",429.393
"Sc","Density_kgm3",997.986
"Sc","Chla_ugL",2.3
"Sc","Turbidity_FTU",1.33
"Sc","DO_pc",77.26
"Sc","DO_mgL",6.757
"Sc","Depth_m",3.1
"Sc","T_C",21.749
"Sc","Salinity",0.206
"Sc","Cond_uScm",0.3985
"Sc","EC25_uScm",429.194
"Sc","Density_kgm3",998
"Sc","Chla_ugL",2.46
"Sc","Turbidity_FTU",1.35
"Sc","DO_pc",76.52
"Sc","DO_mgL",6.698
"Sc","Depth_m",3.2
"Sc","T_C",21.642
"Sc","Salinity",0.206
"Sc","Cond_uScm",0.3982
"Sc","EC25_uScm",429.934
"Sc","Density_kgm3",998.024
"Sc","Chla_ugL",2.25
"Sc","Turbidity_FTU",1.29
"Sc","DO_pc",75.79
"Sc","DO_mgL",6.65
"Sc","Depth_m",3.3
"Sc","T_C",21.59
"Sc","Salinity",0.206
"Sc","Cond_uScm",0.3981
"Sc","EC25_uScm",430.367
"Sc","Density_kgm3",998.036
"Sc","Chla_ugL",2.42
"Sc","Turbidity_FTU",1.4
"Sc","DO_pc",74.96
"Sc","DO_mgL",6.582
"Sc","Depth_m",3.4
"Sc","T_C",21.565
"Sc","Salinity",0.206
"Sc","Cond_uScm",0.398
"Sc","EC25_uScm",430.535
"Sc","Density_kgm3",998.043
"Sc","Chla_ugL",2.28
"Sc","Turbidity_FTU",1.28
"Sc","DO_pc",74.14
"Sc","DO_mgL",6.513
"Sc","Depth_m",3.5
"Sc","T_C",21.523
"Sc","Salinity",0.206
"Sc","Cond_uScm",0.3979
"Sc","EC25_uScm",430.859
"Sc","Density_kgm3",998.052
"Sc","Chla_ugL",2.23
"Sc","Turbidity_FTU",1.75
"Sc","DO_pc",72.35
"Sc","DO_mgL",6.36
"Sc","Depth_m",3.6
"Sc","T_C",21.488
"Sc","Salinity",0.206
"Sc","Cond_uScm",0.3977
"Sc","EC25_uScm",430.983
"Sc","Density_kgm3",998.061
"Sc","Chla_ugL",2.49
"Sc","Turbidity_FTU",1.38
"Sc","DO_pc",71.37
"Sc","DO_mgL",6.279
"Sc","Depth_m",3.7
"Sc","T_C",21.439
"Sc","Salinity",0.206
"Sc","Cond_uScm",0.3974
"Sc","EC25_uScm",431.142
"Sc","Density_kgm3",998.072
"Sc","Chla_ugL",2.23
"Sc","Turbidity_FTU",1.32
"Sc","DO_pc",70.77
"Sc","DO_mgL",6.236
"Sc","Depth_m",3.8
"Sc","T_C",21.279
"Sc","Salinity",0.207
"Sc","Cond_uScm",0.3972
"Sc","EC25_uScm",432.659
"Sc","Density_kgm3",998.108
"Sc","Chla_ugL",2.29
