"Lake","Parameter","Value"
"Ar","DO_pc",128.67
"Ar","DO_mgL",10.665
"Ar","Depth_m",2
"Ar","T_C",24.572
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6299
"Ar","EC25_uScm",635.854
"Ar","Density_kgm3",997.398
"Ar","Chla_ugL",4.09
"Ar","Turbidity_FTU",2.78
"Ar","DO_pc",128.65
"Ar","DO_mgL",10.671
"Ar","Depth_m",2.1
"Ar","T_C",24.447
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6283
"Ar","EC25_uScm",636.072
"Ar","Density_kgm3",997.43
"Ar","Chla_ugL",4.37
"Ar","Turbidity_FTU",2.73
"Ar","DO_pc",128.68
"Ar","DO_mgL",10.696
"Ar","Depth_m",2.2
"Ar","T_C",24.315
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6266
"Ar","EC25_uScm",636.2
"Ar","Density_kgm3",997.464
"Ar","Chla_ugL",4.39
"Ar","Turbidity_FTU",2.81
"Ar","DO_pc",128.85
"Ar","DO_mgL",10.737
"Ar","Depth_m",2.3
"Ar","T_C",24.21
"Ar","Salinity",0.31
"Ar","Cond_uScm",0.6271
"Ar","EC25_uScm",638.227
"Ar","Density_kgm3",997.491
"Ar","Chla_ugL",4.32
"Ar","Turbidity_FTU",3.16
"Ar","DO_pc",128.28
"Ar","DO_mgL",10.707
"Ar","Depth_m",2.4
"Ar","T_C",24.194
"Ar","Salinity",0.309
"Ar","Cond_uScm",0.6262
"Ar","EC25_uScm",637.526
"Ar","Density_kgm3",997.495
"Ar","Chla_ugL",4.59
"Ar","Turbidity_FTU",2.89
"Ar","DO_pc",127.81
"Ar","DO_mgL",10.671
"Ar","Depth_m",2.5
"Ar","T_C",24.169
"Ar","Salinity",0.31
"Ar","Cond_uScm",0.6261
"Ar","EC25_uScm",637.767
"Ar","Density_kgm3",997.502
"Ar","Chla_ugL",4.65
"Ar","Turbidity_FTU",2.62
"Ar","DO_pc",127.01
"Ar","DO_mgL",10.61
"Ar","Depth_m",2.6
"Ar","T_C",24.141
"Ar","Salinity",0.31
"Ar","Cond_uScm",0.6261
"Ar","EC25_uScm",638.168
"Ar","Density_kgm3",997.509
"Ar","Chla_ugL",4.26
"Ar","Turbidity_FTU",2.71
"Ar","DO_pc",126.03
"Ar","DO_mgL",10.535
"Ar","Depth_m",2.7
"Ar","T_C",24.121
"Ar","Salinity",0.31
"Ar","Cond_uScm",0.6258
"Ar","EC25_uScm",638.166
"Ar","Density_kgm3",997.515
"Ar","Chla_ugL",4.35
"Ar","Turbidity_FTU",2.71
"Ar","DO_pc",124.93
"Ar","DO_mgL",10.446
"Ar","Depth_m",2.8
"Ar","T_C",24.045
"Ar","Salinity",0.31
"Ar","Cond_uScm",0.625
