"Lake","Parameter","Value"
"Hs","DO_pc",95.94
"Hs","DO_mgL",8.454
"Hs","Depth_m",2
"Hs","T_C",21.422
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3475
"Hs","EC25_uScm",377.142
"Hs","Density_kgm3",998.048
"Hs","Chla_ugL",2.54
"Hs","Turbidity_FTU",1.28
"Hs","DO_pc",95.85
"Hs","DO_mgL",8.446
"Hs","Depth_m",2.1
"Hs","T_C",21.416
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3475
"Hs","EC25_uScm",377.211
"Hs","Density_kgm3",998.05
"Hs","Chla_ugL",2.62
"Hs","Turbidity_FTU",1.29
"Hs","DO_pc",95.63
"Hs","DO_mgL",8.427
"Hs","Depth_m",2.2
"Hs","T_C",21.407
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3475
"Hs","EC25_uScm",377.288
"Hs","Density_kgm3",998.052
"Hs","Chla_ugL",2.64
"Hs","Turbidity_FTU",1.25
"Hs","DO_pc",95.52
"Hs","DO_mgL",8.42
"Hs","Depth_m",2.3
"Hs","T_C",21.397
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3474
"Hs","EC25_uScm",377.259
"Hs","Density_kgm3",998.055
"Hs","Chla_ugL",2.68
"Hs","Turbidity_FTU",1.28
"Hs","DO_pc",95.39
"Hs","DO_mgL",8.411
"Hs","Depth_m",2.4
"Hs","T_C",21.381
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3472
"Hs","EC25_uScm",377.217
"Hs","Density_kgm3",998.059
"Hs","Chla_ugL",2.76
"Hs","Turbidity_FTU",1.25
"Hs","DO_pc",95.13
"Hs","DO_mgL",8.391
"Hs","Depth_m",2.5
"Hs","T_C",21.364
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3469
"Hs","EC25_uScm",377.059
"Hs","Density_kgm3",998.063
"Hs","Chla_ugL",2.8
"Hs","Turbidity_FTU",1.27
"Hs","DO_pc",94.64
"Hs","DO_mgL",8.35
"Hs","Depth_m",2.6
"Hs","T_C",21.353
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3465
"Hs","EC25_uScm",376.776
"Hs","Density_kgm3",998.066
"Hs","Chla_ugL",2.78
"Hs","Turbidity_FTU",1.25
"Hs","DO_pc",94.53
"Hs","DO_mgL",8.342
"Hs","Depth_m",2.7
"Hs","T_C",21.341
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3464
"Hs","EC25_uScm",376.676
"Hs","Density_kgm3",998.069
"Hs","Chla_ugL",2.82
"Hs","Turbidity_FTU",1.32
"Hs","DO_pc",94.51
"Hs","DO_mgL",8.342
"Hs","Depth_m",2.8
"Hs","T_C",21.329
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3462
"Hs","EC25_uScm",376.638
"Hs","Density_kgm3",998.072
"Hs","Chla_ugL",2.78
"Hs","Turbidity_FTU",1.28
"Hs","DO_pc",94.5
"Hs","DO_mgL",8.344
"Hs","Depth_m",2.9
"Hs","T_C",21.321
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3462
"Hs","EC25_uScm",376.64
"Hs","Density_kgm3",998.074
"Hs","Chla_ugL",2.78
"Hs","Turbidity_FTU",1.28
"Hs","DO_pc",94.49
"Hs","DO_mgL",8.344
"Hs","Depth_m",3
"Hs","T_C",21.312
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3458
"Hs","EC25_uScm",376.305
"Hs","Density_kgm3",998.076
"Hs","Chla_ugL",2.73
"Hs","Turbidity_FTU",1.27
"Hs","DO_pc",94.52
"Hs","DO_mgL",8.348
"Hs","Depth_m",3.1
"Hs","T_C",21.298
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.346
"Hs","EC25_uScm",376.719
"Hs","Density_kgm3",998.08
"Hs","Chla_ugL",2.73
"Hs","Turbidity_FTU",1.22
"Hs","DO_pc",94.59
"Hs","DO_mgL",8.356
"Hs","Depth_m",3.2
"Hs","T_C",21.304
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3463
"Hs","EC25_uScm",376.974
"Hs","Density_kgm3",998.079
"Hs","Chla_ugL",2.82
"Hs","Turbidity_FTU",1.08
"Hs","DO_pc",94.59
"Hs","DO_mgL",8.354
"Hs","Depth_m",3.3
"Hs","T_C",21.292
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.346
"Hs","EC25_uScm",376.736
"Hs","Density_kgm3",998.082
"Hs","Chla_ugL",2.8
"Hs","Turbidity_FTU",1.2
"Hs","DO_pc",94.47
"Hs","DO_mgL",8.345
"Hs","Depth_m",3.4
"Hs","T_C",21.287
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3457
"Hs","EC25_uScm",376.478
"Hs","Density_kgm3",998.084
"Hs","Chla_ugL",2.79
"Hs","Turbidity_FTU",1.21
"Hs","DO_pc",94.59
"Hs","DO_mgL",8.358
"Hs","Depth_m",3.5
"Hs","T_C",21.278
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3456
"Hs","EC25_uScm",376.418
"Hs","Density_kgm3",998.086
"Hs","Chla_ugL",2.81
"Hs","Turbidity_FTU",1.27
"Hs","DO_pc",94.54
"Hs","DO_mgL",8.355
"Hs","Depth_m",3.6
"Hs","T_C",21.274
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3456
"Hs","EC25_uScm",376.46
"Hs","Density_kgm3",998.087
"Hs","Chla_ugL",2.82
"Hs","Turbidity_FTU",1.29
"Hs","DO_pc",94.53
"Hs","DO_mgL",8.355
"Hs","Depth_m",3.7
"Hs","T_C",21.264
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3454
"Hs","EC25_uScm",376.326
"Hs","Density_kgm3",998.09
"Hs","Chla_ugL",2.79
"Hs","Turbidity_FTU",1.29
"Hs","DO_pc",94.45
"Hs","DO_mgL",8.349
"Hs","Depth_m",3.8
"Hs","T_C",21.258
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3454
"Hs","EC25_uScm",376.358
"Hs","Density_kgm3",998.092
"Hs","Chla_ugL",2.8
"Hs","Turbidity_FTU",1.43
"Hs","DO_pc",94.43
"Hs","DO_mgL",8.349
"Hs","Depth_m",3.9
"Hs","T_C",21.24
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3454
"Hs","EC25_uScm",376.548
"Hs","Density_kgm3",998.096
"Hs","Chla_ugL",2.81
"Hs","Turbidity_FTU",1.27
"Hs","DO_pc",94.3
"Hs","DO_mgL",8.34
"Hs","Depth_m",4
"Hs","T_C",21.233
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3458
"Hs","EC25_uScm",376.995
"Hs","Density_kgm3",998.098
"Hs","Chla_ugL",2.89
"Hs","Turbidity_FTU",1.22
"Hs","DO_pc",94.25
"Hs","DO_mgL",8.335
"Hs","Depth_m",4.1
"Hs","T_C",21.225
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.3453
"Hs","EC25_uScm",376.524
"Hs","Density_kgm3",998.1
"Hs","Chla_ugL",2.95
"Hs","Turbidity_FTU",1.43
"Hs","DO_pc",94.24
"Hs","DO_mgL",8.337
"Hs","Depth_m",4.2
"Hs","T_C",21.199
"Hs","Salinity",0.18
"Hs","Cond_uScm",0.345
"Hs","EC25_uScm",376.455
"Hs","Density_kgm3",998.106
"Hs","Chla_ugL",2.77
"Hs","Turbidity_FTU",1.18
"Hs","DO_pc",93.98
"Hs","DO_mgL",8.317
"Hs","Depth_m",4.3
