"Lake","Parameter","Value"
"St","Chla_ugL",1.32
"St","Turbidity_FTU",1.11
"St","DO_pc",116.47
"St","DO_mgL",10.221
"St","Depth_m",2.3
"St","T_C",21.459
"St","Salinity",0.12
"St","Cond_uScm",0.2313
"St","EC25_uScm",250.811
"St","Density_kgm3",997.995
"St","Chla_ugL",1.38
"St","Turbidity_FTU",1.21
"St","DO_pc",116.11
"St","DO_mgL",10.198
"St","Depth_m",2.4
"St","T_C",21.455
"St","Salinity",0.12
"St","Cond_uScm",0.2314
"St","EC25_uScm",251.013
"St","Density_kgm3",997.997
"St","Chla_ugL",1.44
"St","Turbidity_FTU",1.45
"St","DO_pc",115.92
"St","DO_mgL",10.187
"St","Depth_m",2.5
"St","T_C",21.432
"St","Salinity",0.12
"St","Cond_uScm",0.2312
"St","EC25_uScm",250.86
"St","Density_kgm3",998.002
"St","Chla_ugL",1.49
"St","Turbidity_FTU",1.4
"St","DO_pc",116.18
"St","DO_mgL",10.204
"St","Depth_m",2.6
"St","T_C",21.426
"St","Salinity",0.12
"St","Cond_uScm",0.2312
"St","EC25_uScm",250.883
"St","Density_kgm3",998.004
"St","Chla_ugL",1.5
"St","Turbidity_FTU",1.35
"St","DO_pc",115.93
"St","DO_mgL",10.196
"St","Depth_m",2.7
"St","T_C",21.417
"St","Salinity",0.12
"St","Cond_uScm",0.2314
"St","EC25_uScm",251.163
"St","Density_kgm3",998.006
"St","Chla_ugL",1.58
"St","Turbidity_FTU",1.22
"St","DO_pc",116.18
"St","DO_mgL",10.2
"St","Depth_m",2.8
"St","T_C",21.423
"St","Salinity",0.12
"St","Cond_uScm",0.231
"St","EC25_uScm",250.771
"St","Density_kgm3",998.005
"St","Chla_ugL",1.57
"St","Turbidity_FTU",1.32
"St","DO_pc",115.99
"St","DO_mgL",10.194
"St","Depth_m",2.9
"St","T_C",21.41
"St","Salinity",0.12
"St","Cond_uScm",0.2313
"St","EC25_uScm",251.084
"St","Density_kgm3",998.009
"St","Chla_ugL",1.45
"St","Turbidity_FTU",1.24
"St","DO_pc",115.88
"St","DO_mgL",10.193
"St","Depth_m",3
"St","T_C",21.41
"St","Salinity",0.12
"St","Cond_uScm",0.2309
"St","EC25_uScm",250.692
"St","Density_kgm3",998.009
"St","Chla_ugL",1.58
"St","Turbidity_FTU",1.24
"St","DO_pc",115.97
"St","DO_mgL",10.184
"St","Depth_m",3.1
"St","T_C",21.403
"St","Salinity",0.12
"St","Cond_uScm",0.2308
"St","EC25_uScm",250.635
"St","Density_kgm3",998.011
"St","Chla_ugL",1.59
"St","Turbidity_FTU",1.32
"St","DO_pc",115.99
"St","DO_mgL",10.205
"St","Depth_m",3.2
"St","T_C",21.385
"St","Salinity",0.12
"St","Cond_uScm",0.2308
"St","EC25_uScm",250.771
"St","Density_kgm3",998.016
"St","Chla_ugL",1.72
"St","Turbidity_FTU",1.36
"St","DO_pc",115.74
"St","DO_mgL",10.19
"St","Depth_m",3.3
"St","T_C",21.377
"St","Salinity",0.12
"St","Cond_uScm",0.2312
"St","EC25_uScm",251.197
"St","Density_kgm3",998.018
"St","Chla_ugL",1.67
"St","Turbidity_FTU",1.27
"St","DO_pc",115.95
"St","DO_mgL",10.199
"St","Depth_m",3.4
"St","T_C",21.375
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.634
"St","Density_kgm3",998.019
"St","Chla_ugL",1.77
"St","Turbidity_FTU",1.35
"St","DO_pc",115.66
"St","DO_mgL",10.177
"St","Depth_m",3.5
"St","T_C",21.371
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.648
"St","Density_kgm3",998.02
"St","Chla_ugL",1.84
"St","Turbidity_FTU",1.31
"St","DO_pc",115.46
"St","DO_mgL",10.166
"St","Depth_m",3.6
"St","T_C",21.374
"St","Salinity",0.12
"St","Cond_uScm",0.2307
"St","EC25_uScm",250.665
"St","Density_kgm3",998.02
"St","Chla_ugL",1.87
"St","Turbidity_FTU",1.25
"St","DO_pc",115.36
"St","DO_mgL",10.151
"St","Depth_m",3.7
"St","T_C",21.365
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.667
"St","Density_kgm3",998.022
"St","Chla_ugL",1.75
"St","Turbidity_FTU",1.27
"St","DO_pc",115.45
"St","DO_mgL",10.167
"St","Depth_m",3.8
"St","T_C",21.367
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.606
"St","Density_kgm3",998.022
"St","Chla_ugL",1.78
"St","Turbidity_FTU",1.33
"St","DO_pc",115.38
"St","DO_mgL",10.163
"St","Depth_m",3.9
"St","T_C",21.369
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.578
"St","Density_kgm3",998.022
"St","Chla_ugL",1.88
"St","Turbidity_FTU",1.32
"St","DO_pc",115.1
"St","DO_mgL",10.139
"St","Depth_m",4
"St","T_C",21.356
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.66
"St","Density_kgm3",998.025
"St","Chla_ugL",1.84
"St","Turbidity_FTU",1.31
"St","DO_pc",115.31
"St","DO_mgL",10.157
"St","Depth_m",4.1
"St","T_C",21.356
"St","Salinity",0.12
"St","Cond_uScm",0.2307
"St","EC25_uScm",250.781
"St","Density_kgm3",998.026
"St","Chla_ugL",1.7
"St","Turbidity_FTU",1.25
"St","DO_pc",115.16
"St","DO_mgL",10.144
"St","Depth_m",4.2
"St","T_C",21.359
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.697
"St","Density_kgm3",998.026
"St","Chla_ugL",1.73
"St","Turbidity_FTU",1.22
"St","DO_pc",115.1
"St","DO_mgL",10.131
"St","Depth_m",4.3
"St","T_C",21.362
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.682
"St","Density_kgm3",998.025
"St","Chla_ugL",1.79
"St","Turbidity_FTU",1.21
"St","DO_pc",115.11
"St","DO_mgL",10.139
"St","Depth_m",4.4
"St","T_C",21.349
"St","Salinity",0.12
"St","Cond_uScm",0.2307
"St","EC25_uScm",250.888
"St","Density_kgm3",998.029
"St","Chla_ugL",1.7
"St","Turbidity_FTU",1.18
"St","DO_pc",114.9
"St","DO_mgL",10.114
"St","Depth_m",4.5
"St","T_C",21.348
"St","Salinity",0.12
"St","Cond_uScm",0.2305
"St","EC25_uScm",250.676
"St","Density_kgm3",998.029
"St","Chla_ugL",1.75
"St","Turbidity_FTU",1.28
"St","DO_pc",114.59
"St","DO_mgL",10.095
"St","Depth_m",4.6
"St","T_C",21.342
"St","Salinity",0.12
"St","Cond_uScm",0.2305
"St","EC25_uScm",250.707
"St","Density_kgm3",998.031
"St","Chla_ugL",1.7
"St","Turbidity_FTU",1.28
"St","DO_pc",114.65
"St","DO_mgL",10.104
"St","Depth_m",4.7
"St","T_C",21.348
"St","Salinity",0.12
"St","Cond_uScm",0.2305
"St","EC25_uScm",250.67
"St","Density_kgm3",998.03
"St","Chla_ugL",1.71
"St","Turbidity_FTU",1.2
"St","DO_pc",114.56
"St","DO_mgL",10.096
"St","Depth_m",4.8
"St","T_C",21.344
"St","Salinity",0.12
"St","Cond_uScm",0.2305
"St","EC25_uScm",250.607
"St","Density_kgm3",998.032
"St","Chla_ugL",1.75
"St","Turbidity_FTU",1.29
"St","DO_pc",114.5
"St","DO_mgL",10.091
"St","Depth_m",4.9
"St","T_C",21.35
"St","Salinity",0.12
"St","Cond_uScm",0.2304
"St","EC25_uScm",250.55
"St","Density_kgm3",998.031
"St","Chla_ugL",1.71
"St","Turbidity_FTU",1.28
"St","DO_pc",114.15
"St","DO_mgL",10.063
"St","Depth_m",5
"St","T_C",21.342
"St","Salinity",0.12
"St","Cond_uScm",0.2304
"St","EC25_uScm",250.611
"St","Density_kgm3",998.033
"St","Chla_ugL",1.78
"St","Turbidity_FTU",1.27
"St","DO_pc",114.19
"St","DO_mgL",10.069
"St","Depth_m",5.1
"St","T_C",21.334
"St","Salinity",0.12
"St","Cond_uScm",0.2305
"St","EC25_uScm",250.729
"St","Density_kgm3",998.035
"St","Chla_ugL",1.8
"St","Turbidity_FTU",1.61
"St","DO_pc",114.18
"St","DO_mgL",10.069
"St","Depth_m",5.2
"St","T_C",21.322
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.868
"St","Density_kgm3",998.038
"St","Chla_ugL",1.72
"St","Turbidity_FTU",1.24
"St","DO_pc",114.12
"St","DO_mgL",10.059
"St","Depth_m",5.3
"St","T_C",21.319
"St","Salinity",0.12
"St","Cond_uScm",0.2306
"St","EC25_uScm",250.905
"St","Density_kgm3",998.039
"St","Chla_ugL",1.73
"St","Turbidity_FTU",1.28
"St","DO_pc",113.96
"St","DO_mgL",10.049
"St","Depth_m",5.4
"St","T_C",21.289
"St","Salinity",0.12
"St","Cond_uScm",0.2307
"St","EC25_uScm",251.246
"St","Density_kgm3",998.047
"St","Chla_ugL",1.75
"St","Turbidity_FTU",1.28
"St","DO_pc",113.64
"St","DO_mgL",10.03
"St","Depth_m",5.5
"St","T_C",21.288
"St","Salinity",0.12
"St","Cond_uScm",0.2307
"St","EC25_uScm",251.264
"St","Density_kgm3",998.047
"St","Chla_ugL",1.83
"St","Turbidity_FTU",1.22
"St","DO_pc",113.12
"St","DO_mgL",9.981
"St","Depth_m",5.6
"St","T_C",21.137
"St","Salinity",0.123
"St","Cond_uScm",0.2364
"St","EC25_uScm",258.303
"St","Density_kgm3",998.083
"St","Chla_ugL",2.04
"St","Turbidity_FTU",1.27
"St","DO_pc",113.22
"St","DO_mgL",10.04
"St","Depth_m",5.7
"St","T_C",20.494
"St","Salinity",0.127
"St","Cond_uScm",0.2396
"St","EC25_uScm",265.925
"St","Density_kgm3",998.225
"St","Chla_ugL",2.17
"St","Turbidity_FTU",1.56
"St","DO_pc",112.71
"St","DO_mgL",10.124
"St","Depth_m",5.8
"St","T_C",20.136
"St","Salinity",0.128
"St","Cond_uScm",0.2401
"St","EC25_uScm",268.9
"St","Density_kgm3",998.301
"St","Chla_ugL",2.27
"St","Turbidity_FTU",1.42
"St","DO_pc",111.46
"St","DO_mgL",10.056
"St","Depth_m",5.9
"St","T_C",19.957
"St","Salinity",0.129
"St","Cond_uScm",0.2404
"St","EC25_uScm",270.365
"St","Density_kgm3",998.339
"St","Chla_ugL",2.3
"St","Turbidity_FTU",1.42
"St","DO_pc",110.74
"St","DO_mgL",10.052
"St","Depth_m",6
"St","T_C",19.599
"St","Salinity",0.129
"St","Cond_uScm",0.2403
"St","EC25_uScm",272.691
"St","Density_kgm3",998.413
"St","Chla_ugL",2.48
"St","Turbidity_FTU",1.39
"St","DO_pc",110.39
"St","DO_mgL",10.102
"St","Depth_m",6.1
"St","T_C",18.979
"St","Salinity",0.131
"St","Cond_uScm",0.2403
"St","EC25_uScm",276.983
"St","Density_kgm3",998.539
"St","Chla_ugL",2.74
"St","Turbidity_FTU",1.5
"St","DO_pc",111.93
"St","DO_mgL",10.346
"St","Depth_m",6.2
"St","T_C",18.675
"St","Salinity",0.131
"St","Cond_uScm",0.2381
"St","EC25_uScm",276.536
"St","Density_kgm3",998.598
"St","Chla_ugL",2.8
"St","Turbidity_FTU",1.64
"St","DO_pc",112.95
"St","DO_mgL",10.518
"St","Depth_m",6.3
"St","T_C",18.072
"St","Salinity",0.13
"St","Cond_uScm",0.2338
"St","EC25_uScm",275.829
"St","Density_kgm3",998.712
"St","Chla_ugL",2.82
"St","Turbidity_FTU",1.57
"St","DO_pc",113.11
"St","DO_mgL",10.707
"St","Depth_m",6.4
"St","T_C",16.992
"St","Salinity",0.132
"St","Cond_uScm",0.231
"St","EC25_uScm",280.381
"St","Density_kgm3",998.908
"St","Chla_ugL",3.08
"St","Turbidity_FTU",1.71
"St","DO_pc",113.45
"St","DO_mgL",10.951
"St","Depth_m",6.5
"St","T_C",16.429
"St","Salinity",0.133
"St","Cond_uScm",0.2302
"St","EC25_uScm",283.69
"St","Density_kgm3",999.006
"St","Chla_ugL",2.96
"St","Turbidity_FTU",1.75
"St","DO_pc",115.07
"St","DO_mgL",11.213
"St","Depth_m",6.6
"St","T_C",16.135
"St","Salinity",0.132
"St","Cond_uScm",0.2267
"St","EC25_uScm",281.614
"St","Density_kgm3",999.054
"St","Chla_ugL",2.79
"St","Turbidity_FTU",1.74
"St","DO_pc",116.42
"St","DO_mgL",11.405
"St","Depth_m",6.7
"St","T_C",15.768
"St","Salinity",0.131
"St","Cond_uScm",0.2239
"St","EC25_uScm",280.967
"St","Density_kgm3",999.114
"St","Chla_ugL",2.7
"St","Turbidity_FTU",1.84
"St","DO_pc",117.75
"St","DO_mgL",11.647
"St","Depth_m",6.8
"St","T_C",15.055
"St","Salinity",0.135
"St","Cond_uScm",0.2272
"St","EC25_uScm",290.842
"St","Density_kgm3",999.229
"St","Chla_ugL",2.69
"St","Turbidity_FTU",1.68
"St","DO_pc",125.47
"St","DO_mgL",12.535
"St","Depth_m",6.9
"St","T_C",15.269
"St","Salinity",0.131
"St","Cond_uScm",0.221
"St","EC25_uScm",281.135
"St","Density_kgm3",999.193
"St","Chla_ugL",2.73
"St","Turbidity_FTU",1.79
"St","DO_pc",129.62
"St","DO_mgL",12.869
"St","Depth_m",7
"St","T_C",14.827
"St","Salinity",0.13
"St","Cond_uScm",0.2173
"St","EC25_uScm",279.906
"St","Density_kgm3",999.26
"St","Chla_ugL",2.8
"St","Turbidity_FTU",2.17
"St","DO_pc",133.05
"St","DO_mgL",13.398
"St","Depth_m",7.1
"St","T_C",14.229
"St","Salinity",0.131
"St","Cond_uScm",0.2156
"St","EC25_uScm",282.587
"St","Density_kgm3",999.348
"St","Chla_ugL",2.87
"St","Turbidity_FTU",2.55
"St","DO_pc",134.38
"St","DO_mgL",13.743
