"Lake","Parameter","Value"
"St","Depth_m",8
"St","T_C",11.136
"St","Salinity",0.131
"St","Cond_uScm",0.2004
"St","EC25_uScm",288.398
"St","Density_kgm3",999.733
"St","Chla_ugL",2.73
"St","Turbidity_FTU",4.05
"St","DO_pc",154.83
"St","DO_mgL",16.889
"St","Depth_m",8.1
"St","T_C",10.982
"St","Salinity",0.131
"St","Cond_uScm",0.1998
"St","EC25_uScm",288.921
"St","Density_kgm3",999.749
"St","Chla_ugL",2.65
"St","Turbidity_FTU",4.04
"St","DO_pc",154.87
"St","DO_mgL",16.978
"St","Depth_m",8.2
"St","T_C",10.956
"St","Salinity",0.131
"St","Cond_uScm",0.2008
"St","EC25_uScm",290.625
"St","Density_kgm3",999.753
"St","Chla_ugL",2.65
"St","Turbidity_FTU",3.81
"St","DO_pc",156.39
"St","DO_mgL",17.138
"St","Depth_m",8.3
"St","T_C",10.917
"St","Salinity",0.13
"St","Cond_uScm",0.1992
"St","EC25_uScm",288.573
"St","Density_kgm3",999.757
"St","Chla_ugL",2.65
"St","Turbidity_FTU",4.2
"St","DO_pc",156.82
"St","DO_mgL",17.223
"St","Depth_m",8.4
"St","T_C",10.676
"St","Salinity",0.131
"St","Cond_uScm",0.1983
"St","EC25_uScm",289.571
"St","Density_kgm3",999.781
"St","Chla_ugL",2.59
"St","Turbidity_FTU",4.45
"St","DO_pc",157.04
"St","DO_mgL",17.368
"St","Depth_m",8.5
"St","T_C",10.389
"St","Salinity",0.132
"St","Cond_uScm",0.1995
"St","EC25_uScm",294.013
"St","Density_kgm3",999.811
"St","Chla_ugL",2.45
"St","Turbidity_FTU",4.68
"St","DO_pc",157.98
"St","DO_mgL",17.545
"St","Depth_m",8.6
"St","T_C",10.298
"St","Salinity",0.131
"St","Cond_uScm",0.1975
"St","EC25_uScm",291.869
"St","Density_kgm3",999.819
"St","Chla_ugL",2.53
"St","Turbidity_FTU",5.1
"St","DO_pc",156.28
"St","DO_mgL",17.37
"St","Depth_m",8.7
"St","T_C",10.164
"St","Salinity",0.132
"St","Cond_uScm",0.1973
"St","EC25_uScm",292.899
"St","Density_kgm3",999.832
"St","Chla_ugL",2.37
"St","Turbidity_FTU",4.91
"St","DO_pc",155.83
"St","DO_mgL",17.411
"St","Depth_m",8.8
"St","T_C",10.156
"St","Salinity",0.132
"St","Cond_uScm",0.1972
"St","EC25_uScm",292.889
"St","Density_kgm3",999.833
"St","Chla_ugL",2.55
"St","Turbidity_FTU",4.9
"St","DO_pc",153.07
"St","DO_mgL",17.068
"St","Depth_m",8.9
"St","T_C",10.141
"St","Salinity",0.131
"St","Cond_uScm",0.1966
"St","EC25_uScm",292.051
"St","Density_kgm3",999.834
"St","Chla_ugL",2.7
"St","Turbidity_FTU",5.31
"St","DO_pc",152.78
"St","DO_mgL",17.04
"St","Depth_m",9
"St","T_C",9.872
"St","Salinity",0.132
"St","Cond_uScm",0.1962
"St","EC25_uScm",294.074
"St","Density_kgm3",999.859
"St","Chla_ugL",2.49
"St","Turbidity_FTU",5.67
"St","DO_pc",151.93
"St","DO_mgL",17.095
"St","Depth_m",9.1
"St","T_C",9.77
"St","Salinity",0.132
"St","Cond_uScm",0.1955
"St","EC25_uScm",294.057
"St","Density_kgm3",999.868
"St","Chla_ugL",2.56
"St","Turbidity_FTU",6.3
"St","DO_pc",150.57
"St","DO_mgL",16.924
"St","Depth_m",9.2
"St","T_C",9.641
"St","Salinity",0.133
"St","Cond_uScm",0.1966
"St","EC25_uScm",296.86
"St","Density_kgm3",999.881
"St","Chla_ugL",2.6
"St","Turbidity_FTU",6.1
"St","DO_pc",148.51
"St","DO_mgL",16.749
"St","Depth_m",9.3
"St","T_C",9.493
"St","Salinity",0.133
"St","Cond_uScm",0.1958
"St","EC25_uScm",297.209
"St","Density_kgm3",999.893
"St","Chla_ugL",2.84
"St","Turbidity_FTU",6.83
"St","DO_pc",146.73
"St","DO_mgL",16.615
"St","Depth_m",9.4
"St","T_C",9.517
"St","Salinity",0.132
"St","Cond_uScm",0.1953
"St","EC25_uScm",296.26
"St","Density_kgm3",999.892
"St","Chla_ugL",2.6
"St","Turbidity_FTU",6.09
"St","DO_pc",144.3
"St","DO_mgL",16.254
"St","Depth_m",9.5
"St","T_C",9.377
"St","Salinity",0.132
"St","Cond_uScm",0.1945
"St","EC25_uScm",296.364
"St","Density_kgm3",999.903
"St","Chla_ugL",2.78
"St","Turbidity_FTU",7.09
"St","DO_pc",143.33
"St","DO_mgL",16.297
"St","Depth_m",9.6
"St","T_C",9.186
"St","Salinity",0.132
"St","Cond_uScm",0.1936
"St","EC25_uScm",296.814
"St","Density_kgm3",999.919
"St","Chla_ugL",2.56
"St","Turbidity_FTU",6.14
"St","DO_pc",142.34
"St","DO_mgL",16.245
"St","Depth_m",9.7
"St","T_C",9.124
"St","Salinity",0.132
"St","Cond_uScm",0.1934
"St","EC25_uScm",297.194
"St","Density_kgm3",999.924
"St","Chla_ugL",2.58
"St","Turbidity_FTU",6.3
"St","DO_pc",141.2
"St","DO_mgL",16.164
"St","Depth_m",9.8
"St","T_C",9.059
"St","Salinity",0.132
"St","Cond_uScm",0.1933
"St","EC25_uScm",297.659
"St","Density_kgm3",999.93
"St","Chla_ugL",2.76
"St","Turbidity_FTU",6.51
"St","DO_pc",140.08
"St","DO_mgL",16.068
