"Lake","Parameter","Value"
"FukuNO","Chla_ugL",40.54
"FukuNO","Turbidity_FTU",2.32
"FukuNO","DO_pc",90.67
"FukuNO","DO_mgL",8.191
"FukuNO","Depth_m",1.8
"FukuNO","T_C",19.797
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0227
"FukuNO","EC25_uScm",25.638
"FukuNO","Density_kgm3",998.269
"FukuNO","Chla_ugL",15.35
"FukuNO","Turbidity_FTU",1.88
"FukuNO","DO_pc",89.08
"FukuNO","DO_mgL",8.129
"FukuNO","Depth_m",1.9
"FukuNO","T_C",18.86
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0228
"FukuNO","EC25_uScm",26.343
"FukuNO","Density_kgm3",998.456
"FukuNO","Chla_ugL",15.13
"FukuNO","Turbidity_FTU",2.07
"FukuNO","DO_pc",83.37
"FukuNO","DO_mgL",7.744
"FukuNO","Depth_m",2
"FukuNO","T_C",18.682
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0225
"FukuNO","EC25_uScm",26.185
"FukuNO","Density_kgm3",998.491
"FukuNO","Chla_ugL",15.51
"FukuNO","Turbidity_FTU",3.17
"FukuNO","DO_pc",77
"FukuNO","DO_mgL",7.215
"FukuNO","Depth_m",2.1
"FukuNO","T_C",16.936
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0231
"FukuNO","EC25_uScm",28.083
"FukuNO","Density_kgm3",998.811
"FukuNO","Chla_ugL",26.15
"FukuNO","Turbidity_FTU",3.9
"FukuNO","DO_pc",64.95
"FukuNO","DO_mgL",6.259
"FukuNO","Depth_m",2.2
"FukuNO","T_C",16.002
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0233
"FukuNO","EC25_uScm",29.085
"FukuNO","Density_kgm3",998.968
"FukuNO","Chla_ugL",32.17
"FukuNO","Turbidity_FTU",4.58
"FukuNO","DO_pc",52.97
"FukuNO","DO_mgL",5.219
"FukuNO","Depth_m",2.3
"FukuNO","T_C",15.38
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0233
"FukuNO","EC25_uScm",29.547
"FukuNO","Density_kgm3",999.067
"FukuNO","Chla_ugL",37.2
"FukuNO","Turbidity_FTU",5.12
"FukuNO","DO_pc",44.5
"FukuNO","DO_mgL",4.441
"FukuNO","Depth_m",2.4
"FukuNO","T_C",14.426
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0232
"FukuNO","EC25_uScm",30.221
"FukuNO","Density_kgm3",999.211
"FukuNO","Chla_ugL",47.29
"FukuNO","Turbidity_FTU",6.38
"FukuNO","DO_pc",33.11
"FukuNO","DO_mgL",3.368
"FukuNO","Depth_m",2.5
"FukuNO","T_C",13.897
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0232
"FukuNO","EC25_uScm",30.684
"FukuNO","Density_kgm3",999.286
"FukuNO","Chla_ugL",54.08
"FukuNO","Turbidity_FTU",7.29
"FukuNO","DO_pc",26.27
"FukuNO","DO_mgL",2.705
"FukuNO","Depth_m",2.6
"FukuNO","T_C",13.492
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0233
"FukuNO","EC25_uScm",31.264
"FukuNO","Density_kgm3",999.341
"FukuNO","Chla_ugL",62.33
"FukuNO","Turbidity_FTU",8.35
"FukuNO","DO_pc",22.12
"FukuNO","DO_mgL",2.299
"FukuNO","Depth_m",2.7
"FukuNO","T_C",12.881
"FukuNO","Salinity",0.018
"FukuNO","Cond_uScm",0.0236
"FukuNO","EC25_uScm",32.118
"FukuNO","Density_kgm3",999.42
"FukuNO","Chla_ugL",79.49
"FukuNO","Turbidity_FTU",9.98
"FukuNO","DO_pc",14.51
"FukuNO","DO_mgL",1.526
"FukuNO","Depth_m",2.8
"FukuNO","T_C",12.302
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0248
"FukuNO","EC25_uScm",34.376
"FukuNO","Density_kgm3",999.492
"FukuNO","Chla_ugL",87.73
"FukuNO","Turbidity_FTU",11.29
"FukuNO","DO_pc",11.9
"FukuNO","DO_mgL",1.266
"FukuNO","Depth_m",2.9
"FukuNO","T_C",11.942
"FukuNO","Salinity",0.019
"FukuNO","Cond_uScm",0.0258
"FukuNO","EC25_uScm",36.163
"FukuNO","Density_kgm3",999.534
"FukuNO","Chla_ugL",97.47
"FukuNO","Turbidity_FTU",12.53
"FukuNO","DO_pc",10.59
"FukuNO","DO_mgL",1.14
"FukuNO","Depth_m",3
"FukuNO","T_C",11.553
"FukuNO","Salinity",0.02
"FukuNO","Cond_uScm",0.0265
"FukuNO","EC25_uScm",37.615
"FukuNO","Density_kgm3",999.578
"FukuNO","Chla_ugL",104.28
"FukuNO","Turbidity_FTU",13.44
"FukuNO","DO_pc",9.77
"FukuNO","DO_mgL",1.062
"FukuNO","Depth_m",3.1
"FukuNO","T_C",10.918
"FukuNO","Salinity",0.02
"FukuNO","Cond_uScm",0.027
"FukuNO","EC25_uScm",39.13
"FukuNO","Density_kgm3",999.646
"FukuNO","Chla_ugL",103.65
"FukuNO","Turbidity_FTU",13.4
"FukuNO","DO_pc",8.49
"FukuNO","DO_mgL",0.934
"FukuNO","Depth_m",3.2
"FukuNO","T_C",10.354
"FukuNO","Salinity",0.02
"FukuNO","Cond_uScm",0.0277
"FukuNO","EC25_uScm",40.837
"FukuNO","Density_kgm3",999.701
"FukuNO","Chla_ugL",101.3
"FukuNO","Turbidity_FTU",13.37
"FukuNO","DO_pc",7.01
"FukuNO","DO_mgL",0.782
"FukuNO","Depth_m",3.3
"FukuNO","T_C",9.867
"FukuNO","Salinity",0.021
"FukuNO","Cond_uScm",0.0285
"FukuNO","EC25_uScm",42.694
"FukuNO","Density_kgm3",999.745
"FukuNO","Chla_ugL",96.77
"FukuNO","Turbidity_FTU",12.94
"FukuNO","DO_pc",5.9
"FukuNO","DO_mgL",0.664
"FukuNO","Depth_m",3.4
"FukuNO","T_C",9.454
"FukuNO","Salinity",0.021
"FukuNO","Cond_uScm",0.0282
"FukuNO","EC25_uScm",42.883
"FukuNO","Density_kgm3",999.78
"FukuNO","Chla_ugL",94.56
"FukuNO","Turbidity_FTU",12
"FukuNO","DO_pc",4.57
"FukuNO","DO_mgL",0.517
"FukuNO","Depth_m",3.5
"FukuNO","T_C",9.156
"FukuNO","Salinity",0.023
"FukuNO","Cond_uScm",0.0313
"FukuNO","EC25_uScm",48.045
"FukuNO","Density_kgm3",999.806
"FukuNO","Chla_ugL",86.54
"FukuNO","Turbidity_FTU",12.74
"FukuNO","DO_pc",4.18
"FukuNO","DO_mgL",0.478
"FukuNO","Depth_m",3.6
"FukuNO","T_C",8.745
"FukuNO","Salinity",0.024
"FukuNO","Cond_uScm",0.0329
"FukuNO","EC25_uScm",51.289
"FukuNO","Density_kgm3",999.838
"FukuNO","Chla_ugL",77.04
"FukuNO","Turbidity_FTU",11.94
"FukuNO","DO_pc",3.84
"FukuNO","DO_mgL",0.443
"FukuNO","Depth_m",3.7
"FukuNO","T_C",8.481
"FukuNO","Salinity",0.024
"FukuNO","Cond_uScm",0.0335
"FukuNO","EC25_uScm",52.666
"FukuNO","Density_kgm3",999.857
"FukuNO","Chla_ugL",73.85
"FukuNO","Turbidity_FTU",11.69
"FukuNO","DO_pc",3.51
"FukuNO","DO_mgL",0.408
"FukuNO","Depth_m",3.8
"FukuNO","T_C",8.201
"FukuNO","Salinity",0.025
"FukuNO","Cond_uScm",0.0348
"FukuNO","EC25_uScm",55.157
"FukuNO","Density_kgm3",999.876
"FukuNO","Chla_ugL",67
"FukuNO","Turbidity_FTU",11.9
"FukuNO","DO_pc",3.15
"FukuNO","DO_mgL",0.369
"FukuNO","Depth_m",3.9
"FukuNO","T_C",7.87
"FukuNO","Salinity",0.026
"FukuNO","Cond_uScm",0.0355
"FukuNO","EC25_uScm",56.958
"FukuNO","Density_kgm3",999.897
"FukuNO","Chla_ugL",68.18
"FukuNO","Turbidity_FTU",11.93
"FukuNO","DO_pc",2.59
"FukuNO","DO_mgL",0.304
"FukuNO","Depth_m",4
"FukuNO","T_C",7.712
"FukuNO","Salinity",0.026
"FukuNO","Cond_uScm",0.0367
"FukuNO","EC25_uScm",59.272
"FukuNO","Density_kgm3",999.908
"FukuNO","Chla_ugL",70.36
"FukuNO","Turbidity_FTU",12.42
"FukuNO","DO_pc",2.25
"FukuNO","DO_mgL",0.265
"FukuNO","Depth_m",4.1
"FukuNO","T_C",7.587
"FukuNO","Salinity",0.027
"FukuNO","Cond_uScm",0.0378
"FukuNO","EC25_uScm",61.205
"FukuNO","Density_kgm3",999.916
"FukuNO","Chla_ugL",74.29
"FukuNO","Turbidity_FTU",12.57
"FukuNO","DO_pc",1.86
"FukuNO","DO_mgL",0.22
"FukuNO","Depth_m",4.2
"FukuNO","T_C",7.419
"FukuNO","Salinity",0.029
"FukuNO","Cond_uScm",0.04
"FukuNO","EC25_uScm",65.179
"FukuNO","Density_kgm3",999.926
"FukuNO","Chla_ugL",70.88
"FukuNO","Turbidity_FTU",13.74
"FukuNO","DO_pc",1.72
"FukuNO","DO_mgL",0.205
"FukuNO","Depth_m",4.3
"FukuNO","T_C",7.334
"FukuNO","Salinity",0.029
"FukuNO","Cond_uScm",0.0407
"FukuNO","EC25_uScm",66.514
"FukuNO","Density_kgm3",999.932
"FukuNO","Chla_ugL",73.87
"FukuNO","Turbidity_FTU",14.06
"FukuNO","DO_pc",1.57
"FukuNO","DO_mgL",0.187
"FukuNO","Depth_m",4.4
"FukuNO","T_C",7.199
"FukuNO","Salinity",0.03
"FukuNO","Cond_uScm",0.0424
"FukuNO","EC25_uScm",69.644
"FukuNO","Density_kgm3",999.94
"FukuNO","Chla_ugL",78.59
"FukuNO","Turbidity_FTU",14.99
"FukuNO","DO_pc",1.33
"FukuNO","DO_mgL",0.16
"FukuNO","Depth_m",4.5
"FukuNO","T_C",7.046
"FukuNO","Salinity",0.032
"FukuNO","Cond_uScm",0.0443
"FukuNO","EC25_uScm",73.206
"FukuNO","Density_kgm3",999.949
"FukuNO","Chla_ugL",80.3
"FukuNO","Turbidity_FTU",16.73
"FukuNO","DO_pc",1.14
"FukuNO","DO_mgL",0.137
"FukuNO","Depth_m",4.6
"FukuNO","T_C",6.975
"FukuNO","Salinity",0.033
"FukuNO","Cond_uScm",0.0456
"FukuNO","EC25_uScm",75.599
"FukuNO","Density_kgm3",999.953
"FukuNO","Chla_ugL",96.94
"FukuNO","Turbidity_FTU",38.26
"FukuNO","DO_pc",0.93
"FukuNO","DO_mgL",0.111
"FukuNO","Depth_m",4.7
"FukuNO","T_C",6.847
"FukuNO","Salinity",0.059
"FukuNO","Cond_uScm",0.0825
"FukuNO","EC25_uScm",137.328
"FukuNO","Density_kgm3",999.981
"FukuNO","Chla_ugL",14.66
"FukuNO","Turbidity_FTU",1166.8
"FukuNO","DO_pc",1.32
"FukuNO","DO_mgL",0.158
"FukuNO","Depth_m",4.8
"FukuNO","T_C",6.814
"FukuNO","Salinity",0.069
