"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
14,8.811,0.329,0.4656,723.123,1000.124,8.37,2.49,0.08,0.009,"Ar"
14.1,8.797,0.329,0.4658,723.75,1000.125,8.18,2.39,0.07,0.008,"Ar"
14.2,8.795,0.329,0.4656,723.588,1000.126,8.19,2.42,0.07,0.008,"Ar"
14.3,8.784,0.329,0.4656,723.767,1000.127,8.24,2.39,0.07,0.008,"Ar"
14.4,8.778,0.33,0.4657,724.1,1000.128,8.25,2.32,0.07,0.008,"Ar"
14.5,8.787,0.33,0.466,724.416,1000.128,8.15,2.21,0.07,0.008,"Ar"
14.6,8.779,0.329,0.4655,723.725,1000.129,8.35,2.32,0.06,0.007,"Ar"
14.7,8.778,0.329,0.4654,723.679,1000.129,8.32,2.41,0.07,0.008,"Ar"
14.8,8.779,0.329,0.4655,723.757,1000.13,8.34,2.39,0.07,0.008,"Ar"
14.9,8.77,0.33,0.4656,724.142,1000.131,8.4,2.39,0.06,0.007,"Ar"
15,8.775,0.33,0.4656,724.07,1000.131,8.34,2.35,0.06,0.007,"Ar"
15.1,8.769,0.329,0.4654,723.928,1000.132,8.46,2.34,0.07,0.008,"Ar"
15.2,8.772,0.33,0.4655,723.941,1000.132,8.46,2.46,0.07,0.008,"Ar"
15.3,8.778,0.33,0.4657,724.177,1000.132,8.24,2.17,0.06,0.007,"Ar"
15.4,8.767,0.33,0.4656,724.213,1000.134,8.32,2.34,0.06,0.007,"Ar"
15.5,8.763,0.33,0.4655,724.266,1000.134,8.53,2.48,0.06,0.006,"Ar"
15.6,8.754,0.33,0.4656,724.54,1000.136,8.94,2.49,0.06,0.007,"Ar"
15.7,8.76,0.33,0.4657,724.516,1000.136,9.35,2.98,0.06,0.007,"Ar"
15.8,8.758,0.33,0.4655,724.364,1000.136,10.53,4.87,0.06,0.007,"Ar"
15.9,8.708,0.335,0.4715,734.906,1000.144,0.2,17.59,0.04,0.004,"Ar"
