"Lake","Parameter","Value"
"FukuSW","Chla_ugL",22.34
"FukuSW","Turbidity_FTU",1.4
"FukuSW","DO_pc",29.29
"FukuSW","DO_mgL",2.814
"FukuSW","Depth_m",1.8
"FukuSW","T_C",16.471
"FukuSW","Salinity",0.026
"FukuSW","Cond_uScm",0.0395
"FukuSW","EC25_uScm",48.651
"FukuSW","Density_kgm3",998.896
"FukuSW","Chla_ugL",22.91
"FukuSW","Turbidity_FTU",1.21
"FukuSW","DO_pc",22.38
"FukuSW","DO_mgL",2.191
"FukuSW","Depth_m",1.9
"FukuSW","T_C",15.866
"FukuSW","Salinity",0.026
"FukuSW","Cond_uScm",0.0389
"FukuSW","EC25_uScm",48.705
"FukuSW","Density_kgm3",998.995
"FukuSW","Chla_ugL",23.02
"FukuSW","Turbidity_FTU",1.18
"FukuSW","DO_pc",17.08
"FukuSW","DO_mgL",1.686
"FukuSW","Depth_m",2
"FukuSW","T_C",15.431
"FukuSW","Salinity",0.026
"FukuSW","Cond_uScm",0.0385
"FukuSW","EC25_uScm",48.763
"FukuSW","Density_kgm3",999.065
"FukuSW","Chla_ugL",23.12
"FukuSW","Turbidity_FTU",1.13
"FukuSW","DO_pc",14.17
"FukuSW","DO_mgL",1.416
"FukuSW","Depth_m",2.1
"FukuSW","T_C",14.939
"FukuSW","Salinity",0.026
"FukuSW","Cond_uScm",0.0381
"FukuSW","EC25_uScm",48.938
"FukuSW","Density_kgm3",999.14
"FukuSW","Chla_ugL",23.1
"FukuSW","Turbidity_FTU",1.14
"FukuSW","DO_pc",11.55
"FukuSW","DO_mgL",1.166
"FukuSW","Depth_m",2.2
"FukuSW","T_C",14.539
"FukuSW","Salinity",0.026
"FukuSW","Cond_uScm",0.0377
"FukuSW","EC25_uScm",48.966
"FukuSW","Density_kgm3",999.2
"FukuSW","Chla_ugL",23.01
"FukuSW","Turbidity_FTU",1.13
"FukuSW","DO_pc",9.38
"FukuSW","DO_mgL",0.955
"FukuSW","Depth_m",2.3
"FukuSW","T_C",13.971
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.037
"FukuSW","EC25_uScm",48.85
"FukuSW","Density_kgm3",999.281
"FukuSW","Chla_ugL",22.98
"FukuSW","Turbidity_FTU",1.08
"FukuSW","DO_pc",6.92
"FukuSW","DO_mgL",0.713
"FukuSW","Depth_m",2.4
"FukuSW","T_C",13.428
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.0362
"FukuSW","EC25_uScm",48.613
"FukuSW","Density_kgm3",999.355
"FukuSW","Chla_ugL",23.04
"FukuSW","Turbidity_FTU",1.1
"FukuSW","DO_pc",4.6
"FukuSW","DO_mgL",0.477
"FukuSW","Depth_m",2.5
"FukuSW","T_C",13.027
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.0353
"FukuSW","EC25_uScm",47.925
"FukuSW","Density_kgm3",999.407
"FukuSW","Chla_ugL",23.2
"FukuSW","Turbidity_FTU",1.08
"FukuSW","DO_pc",3.96
"FukuSW","DO_mgL",0.415
"FukuSW","Depth_m",2.6
"FukuSW","T_C",12.342
"FukuSW","Salinity",0.025
"FukuSW","Cond_uScm",0.0354
"FukuSW","EC25_uScm",49.011
"FukuSW","Density_kgm3",999.491
"FukuSW","Chla_ugL",23.38
"FukuSW","Turbidity_FTU",1.18
"FukuSW","DO_pc",2.7
"FukuSW","DO_mgL",0.289
"FukuSW","Depth_m",2.7
"FukuSW","T_C",11.671
"FukuSW","Salinity",0.024
"FukuSW","Cond_uScm",0.0341
"FukuSW","EC25_uScm",48.207
"FukuSW","Density_kgm3",999.568
"FukuSW","Chla_ugL",23.66
"FukuSW","Turbidity_FTU",1.1
"FukuSW","DO_pc",2.24
"FukuSW","DO_mgL",0.242
"FukuSW","Depth_m",2.8
"FukuSW","T_C",11.156
"FukuSW","Salinity",0.024
