"Lake","Parameter","Value"
"Gg","DO_pc",111.55
"Gg","DO_mgL",9.387
"Gg","Depth_m",2
"Gg","T_C",23.85
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4644
"Gg","EC25_uScm",476.415
"Gg","Density_kgm3",997.518
"Gg","Chla_ugL",1.15
"Gg","Turbidity_FTU",2.21
"Gg","DO_pc",111.45
"Gg","DO_mgL",9.379
"Gg","Depth_m",2.1
"Gg","T_C",23.849
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4645
"Gg","EC25_uScm",476.548
"Gg","Density_kgm3",997.519
"Gg","Chla_ugL",1.23
"Gg","Turbidity_FTU",2.31
"Gg","DO_pc",111.17
"Gg","DO_mgL",9.355
"Gg","Depth_m",2.2
"Gg","T_C",23.849
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4645
"Gg","EC25_uScm",476.535
"Gg","Density_kgm3",997.519
"Gg","Chla_ugL",1.33
"Gg","Turbidity_FTU",2.39
"Gg","DO_pc",111.26
"Gg","DO_mgL",9.361
"Gg","Depth_m",2.3
"Gg","T_C",23.848
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4644
"Gg","EC25_uScm",476.478
"Gg","Density_kgm3",997.52
"Gg","Chla_ugL",1.29
"Gg","Turbidity_FTU",2.36
"Gg","DO_pc",111.25
"Gg","DO_mgL",9.361
"Gg","Depth_m",2.4
"Gg","T_C",23.846
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4644
"Gg","EC25_uScm",476.534
"Gg","Density_kgm3",997.521
"Gg","Chla_ugL",1.25
"Gg","Turbidity_FTU",2.25
"Gg","DO_pc",111.35
"Gg","DO_mgL",9.371
"Gg","Depth_m",2.5
"Gg","T_C",23.845
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4644
"Gg","EC25_uScm",476.531
"Gg","Density_kgm3",997.522
"Gg","Chla_ugL",1.25
"Gg","Turbidity_FTU",2.17
"Gg","DO_pc",111.28
"Gg","DO_mgL",9.365
"Gg","Depth_m",2.6
"Gg","T_C",23.841
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4642
"Gg","EC25_uScm",476.391
"Gg","Density_kgm3",997.523
"Gg","Chla_ugL",1.23
"Gg","Turbidity_FTU",2.16
"Gg","DO_pc",111.22
"Gg","DO_mgL",9.36
"Gg","Depth_m",2.7
"Gg","T_C",23.832
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4642
"Gg","EC25_uScm",476.404
"Gg","Density_kgm3",997.526
"Gg","Chla_ugL",1.23
"Gg","Turbidity_FTU",2.14
"Gg","DO_pc",111.2
"Gg","DO_mgL",9.36
"Gg","Depth_m",2.8
"Gg","T_C",23.823
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4642
"Gg","EC25_uScm",476.523
"Gg","Density_kgm3",997.528
"Gg","Chla_ugL",1.25
"Gg","Turbidity_FTU",2.2
"Gg","DO_pc",111.19
"Gg","DO_mgL",9.36
"Gg","Depth_m",2.9
"Gg","T_C",23.822
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4642
"Gg","EC25_uScm",476.531
"Gg","Density_kgm3",997.529
"Gg","Chla_ugL",1.23
"Gg","Turbidity_FTU",2.16
"Gg","DO_pc",111.19
"Gg","DO_mgL",9.361
"Gg","Depth_m",3
"Gg","T_C",23.821
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4641
"Gg","EC25_uScm",476.507
"Gg","Density_kgm3",997.53
"Gg","Chla_ugL",1.23
"Gg","Turbidity_FTU",2.09
"Gg","DO_pc",111.15
"Gg","DO_mgL",9.358
"Gg","Depth_m",3.1
"Gg","T_C",23.819
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4641
"Gg","EC25_uScm",476.502
"Gg","Density_kgm3",997.531
"Gg","Chla_ugL",1.21
"Gg","Turbidity_FTU",2.13
"Gg","DO_pc",110.99
"Gg","DO_mgL",9.344
"Gg","Depth_m",3.2
"Gg","T_C",23.818
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.464
"Gg","EC25_uScm",476.411
"Gg","Density_kgm3",997.531
"Gg","Chla_ugL",1.21
"Gg","Turbidity_FTU",2.13
"Gg","DO_pc",110.84
"Gg","DO_mgL",9.332
"Gg","Depth_m",3.3
"Gg","T_C",23.816
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4641
"Gg","EC25_uScm",476.496
"Gg","Density_kgm3",997.532
"Gg","Chla_ugL",1.18
"Gg","Turbidity_FTU",2.04
"Gg","DO_pc",110.82
"Gg","DO_mgL",9.331
"Gg","Depth_m",3.4
"Gg","T_C",23.812
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.464
"Gg","EC25_uScm",476.428
"Gg","Density_kgm3",997.534
"Gg","Chla_ugL",1.23
"Gg","Turbidity_FTU",2.03
"Gg","DO_pc",110.86
"Gg","DO_mgL",9.335
"Gg","Depth_m",3.5
"Gg","T_C",23.804
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4638
"Gg","EC25_uScm",476.383
"Gg","Density_kgm3",997.536
"Gg","Chla_ugL",1.19
"Gg","Turbidity_FTU",2.07
"Gg","DO_pc",110.9
"Gg","DO_mgL",9.34
"Gg","Depth_m",3.6
"Gg","T_C",23.797
"Gg","Salinity",0.23
"Gg","Cond_uScm",0.4637
"Gg","EC25_uScm",476.323
"Gg","Density_kgm3",997.538
