"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
6.6,13.945,0.212,0.3458,456.992,999.45,1.75,1.03,18.61,1.906,"Sc"
6.7,13.755,0.213,0.3458,459.403,999.477,1.71,1.06,18.16,1.869,"Sc"
6.8,13.732,0.213,0.3446,458.202,999.48,1.61,1.11,18.21,1.874,"Sc"
6.9,13.693,0.213,0.3448,459.016,999.486,1.37,1.06,18.05,1.86,"Sc"
7,13.631,0.213,0.3444,459.215,999.495,1.65,1.32,17.41,1.797,"Sc"
7.1,13.568,0.213,0.3432,458.495,999.504,1.78,1.47,16.46,1.702,"Sc"
7.2,13.48,0.213,0.3428,459.118,999.516,1.55,1.78,15.94,1.651,"Sc"
7.3,13.493,0.213,0.3423,458.349,999.515,1.77,1.6,14.74,1.527,"Sc"
7.4,13.408,0.212,0.3412,457.962,999.526,1.54,1.22,14.5,1.505,"Sc"
7.5,13.319,0.213,0.3411,459.058,999.539,1.44,1.25,14.3,1.486,"Sc"
7.6,13.254,0.212,0.3395,457.818,999.547,1.46,1.21,14.32,1.491,"Sc"
7.7,13.098,0.211,0.3374,457.019,999.567,1.65,1.15,14.37,1.502,"Sc"
7.8,12.86,0.212,0.3361,458.559,999.598,1.46,1.04,14.31,1.506,"Sc"
7.9,12.676,0.213,0.3363,461.331,999.623,1.56,1.14,14.16,1.494,"Sc"
8,12.59,0.212,0.3344,459.946,999.633,1.25,0.99,13.82,1.461,"Sc"
8.1,12.471,0.212,0.3335,460.337,999.648,1.26,0.92,13.58,1.441,"Sc"
8.2,12.35,0.213,0.3331,461.58,999.663,1.3,1.03,13.1,1.393,"Sc"
8.3,12.302,0.213,0.3328,461.747,999.67,1.42,0.97,12.68,1.35,"Sc"
8.4,12.254,0.213,0.3326,462.178,999.676,1.34,0.89,11.93,1.272,"Sc"
8.5,12.212,0.213,0.332,461.907,999.681,1.41,0.88,11.13,1.188,"Sc"
8.6,12.152,0.212,0.3312,461.726,999.688,1.34,0.85,10.35,1.106,"Sc"
8.7,12.069,0.212,0.3306,461.989,999.699,1.2,0.89,9.31,0.997,"Sc"
8.8,12.001,0.213,0.3308,463.316,999.707,1.33,0.85,8.72,0.933,"Sc"
8.9,11.929,0.212,0.329,461.79,999.715,1.37,0.85,8.23,0.883,"Sc"
9,11.898,0.212,0.3289,462.134,999.719,1.34,0.86,8.15,0.876,"Sc"
9.1,11.862,0.212,0.3287,462.302,999.724,1.39,0.89,8.32,0.895,"Sc"
9.2,11.813,0.213,0.3292,463.737,999.73,1.32,1,9.01,0.969,"Sc"
9.3,11.753,0.212,0.3277,462.416,999.737,1.38,0.9,9.2,0.992,"Sc"
9.4,11.716,0.212,0.3275,462.669,999.742,1.4,0.88,9.24,0.997,"Sc"
