"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
19,6.125,0.137,0.1849,316.175,1000.139,0.65,1.45,48.32,5.955,"St"
19.1,6.12,0.137,0.1849,316.183,1000.14,0.63,1.17,48.15,5.94,"St"
19.2,6.11,0.137,0.1848,316.188,1000.141,0.6,1.04,48.02,5.926,"St"
19.3,6.107,0.137,0.1848,316.202,1000.141,0.65,1.11,47.85,5.907,"St"
19.4,6.106,0.137,0.1847,316.117,1000.142,0.62,1.04,47.61,5.879,"St"
19.5,6.085,0.137,0.1846,316.235,1000.143,0.59,1.03,47.22,5.827,"St"
19.6,6.077,0.137,0.1847,316.377,1000.144,0.72,1.28,46.89,5.786,"St"
19.7,6.069,0.137,0.1847,316.485,1000.144,0.68,1.15,46.5,5.736,"St"
19.8,6.062,0.137,0.1845,316.301,1000.145,0.64,1.11,46.14,5.695,"St"
19.9,6.052,0.137,0.1845,316.305,1000.146,0.64,1.13,45.85,5.659,"St"
20,6.047,0.136,0.1844,316.2,1000.147,0.63,1.13,45.57,5.623,"St"
20.1,6.052,0.136,0.1843,316.044,1000.147,0.61,1.11,45.31,5.598,"St"
20.2,6.046,0.136,0.1844,316.238,1000.148,0.63,1.27,45.11,5.573,"St"
20.3,6.048,0.136,0.1844,316.174,1000.148,0.61,1.1,44.89,5.531,"St"
20.4,6.044,0.136,0.1842,316.018,1000.148,0.58,1.13,44.76,5.525,"St"
20.5,6.034,0.136,0.1843,316.175,1000.149,0.63,1.27,44.57,5.509,"St"
20.6,6.026,0.136,0.1843,316.305,1000.15,0.6,1.17,44.34,5.476,"St"
20.7,6.025,0.136,0.1842,316.246,1000.151,0.59,1.13,44.16,5.457,"St"
20.8,6.024,0.137,0.1844,316.637,1000.151,0.58,1.1,43.95,5.424,"St"
20.9,6.019,0.137,0.1844,316.554,1000.152,0.56,1.07,43.7,5.394,"St"
21,6.018,0.137,0.1843,316.496,1000.152,0.58,1.17,43.45,5.374,"St"
21.1,6.006,0.137,0.1844,316.69,1000.153,0.58,1.1,43.24,5.347,"St"
21.2,6.007,0.137,0.1844,316.703,1000.154,0.58,1.14,42.91,5.303,"St"
21.3,6.01,0.137,0.1842,316.459,1000.154,0.61,1.18,42.52,5.258,"St"
21.4,6.004,0.137,0.1843,316.606,1000.155,0.61,1.2,42.29,5.234,"St"
21.5,5.991,0.137,0.1844,316.884,1000.156,0.6,1.21,41.93,5.185,"St"
21.6,5.989,0.137,0.1843,316.735,1000.156,0.64,1.31,41.5,5.129,"St"
21.7,5.993,0.137,0.1842,316.576,1000.157,0.61,1.27,41.28,5.108,"St"
21.8,5.98,0.137,0.1843,316.817,1000.157,0.6,1.22,40.97,5.067,"St"
