MiniDOT Logger Concatenated Data File
Sensor:             6881-1320
Concatenation Date: 2020Jun10 11:34:13 MESZ

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mitteleuropäische Zeit,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),       (deg C),            (mg/l),                          (%),        (none)
                1565388000,           2019-08-09 22:00:00,           2019-08-10 00:00:00,     22.494086,          7.970342,                    92.028290,      0.995883
                1565391600,           2019-08-09 23:00:00,           2019-08-10 01:00:00,     21.994466,          6.832913,                    78.142466,      0.994263
                1565395200,           2019-08-10 00:00:00,           2019-08-10 02:00:00,     21.861225,          6.901702,                    78.726655,      0.993682
                1565398800,           2019-08-10 01:00:00,           2019-08-10 03:00:00,     22.144354,          7.464868,                    85.616142,      0.995619
                1565402400,           2019-08-10 02:00:00,           2019-08-10 04:00:00,     21.994466,          7.049322,                    80.617360,      0.993907
                1565406000,           2019-08-10 03:00:00,           2019-08-10 05:00:00,     21.403129,          5.910661,                    66.826469,      0.993546
                1565409600,           2019-08-10 04:00:00,           2019-08-10 06:00:00,     21.269830,          5.974953,                    67.378388,      0.993708
                1565413200,           2019-08-10 05:00:00,           2019-08-10 07:00:00,     21.286493,          6.209188,                    70.042536,      0.992351
                1565416800,           2019-08-10 06:00:00,           2019-08-10 08:00:00,     21.511421,          6.294974,                    71.321379,      0.995306
                1565420400,           2019-08-10 07:00:00,           2019-08-10 09:00:00,     21.228170,          6.097934,                    68.709431,      0.991263
                1565424000,           2019-08-10 08:00:00,           2019-08-10 10:00:00,     20.444478,          5.292988,                    58.730081,      0.992005
                1565427600,           2019-08-10 09:00:00,           2019-08-10 11:00:00,     19.651113,          5.091655,                    55.613170,      0.990703
                1565431200,           2019-08-10 10:00:00,           2019-08-10 12:00:00,     19.190942,          4.197000,                    45.420272,      0.991249
