//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0188
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=116       
StartTime=2021/08/03 10:54:58
EndTime=2021/08/03 10:55:40
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2021/03/10
Ch1=-3.831851e-01,+1.127922e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.332465e+00,+1.069077e-03,-1.252241e-08,+2.876596e-13,-3.472084e-18,+2.511402e-23,+0.000000e+00,+0.000000e+00,
Ch4=-5.72848200e-01,2.197348000e00,-2.07220400e-01,5.839104000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.654597e+00,+7.041750e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.997533e+00,+1.378983e-02,+8.086082e-08,-6.134221e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.141224e+01,+2.110549e+06,-6.080616e+03,+1.064000e-02,+3.900000e-03,+6.760000e-05,+0.000000e+00,+1.000000e+00,
Ch9=-6.053177e+00,+1.066339e-03,-1.261943e-08,+2.927030e-13,-3.579377e-18,+2.588549e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070304000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=200735BA
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],DO [mg/l],Batt. [V],
0.000,17.500,0.076,0.1343,160.785,998.747,-1.253,1.18,1.18,28.17,101.25,9.345,8.35,
0.100,21.659,0.180,0.3487,376.325,997.986,-2.014,1.91,1.91,2.03,99.44,8.735,8.30,
0.200,21.728,0.180,0.3484,375.424,997.971,-2.030,1.76,1.76,1.32,99.06,8.696,8.30,
0.300,21.730,0.180,0.3486,375.621,997.971,-2.030,1.79,1.79,1.22,97.05,8.520,8.31,
0.400,21.702,0.179,0.3480,375.182,997.978,-2.024,1.82,1.82,1.28,96.91,8.510,8.31,
0.500,21.654,0.180,0.3479,375.560,997.989,-2.013,1.94,1.94,1.27,95.81,8.421,8.31,
0.600,21.659,0.180,0.3485,376.201,997.989,-2.014,1.96,1.96,1.32,95.70,8.410,8.30,
0.700,21.652,0.180,0.3486,376.349,997.991,-2.012,1.96,1.96,1.32,95.49,8.388,8.30,
0.800,21.647,0.180,0.3484,376.176,997.992,-2.012,1.97,1.97,1.33,95.17,8.359,8.29,
0.900,21.653,0.180,0.3488,376.517,997.991,-2.013,1.99,1.99,1.24,95.07,8.351,8.29,
1.000,21.652,0.180,0.3487,376.449,997.992,-2.013,1.98,1.98,1.22,94.94,8.336,8.28,
1.100,21.652,0.180,0.3486,376.345,997.992,-2.012,2.02,2.02,1.28,94.85,8.332,8.27,
1.200,21.640,0.180,0.3486,376.378,997.995,-2.010,2.13,2.13,1.22,94.81,8.331,8.31,
1.300,21.561,0.180,0.3481,376.546,998.014,-1.992,2.13,2.13,1.18,94.90,8.351,8.29,
1.400,21.511,0.180,0.3476,376.512,998.025,-1.981,2.18,2.18,1.11,94.67,8.340,8.31,
1.500,21.458,0.180,0.3480,377.373,998.038,-1.969,2.24,2.24,1.11,94.51,8.335,8.29,
1.600,21.448,0.180,0.3479,377.373,998.040,-1.967,2.30,2.30,1.15,94.59,8.338,8.30,
1.700,21.440,0.181,0.3481,377.702,998.043,-1.965,2.33,2.33,1.25,94.63,8.343,8.31,
1.800,21.429,0.181,0.3483,377.975,998.046,-1.962,2.39,2.39,1.21,94.70,8.350,8.29,
1.900,21.423,0.181,0.3483,378.087,998.048,-1.961,2.44,2.44,1.17,94.65,8.347,8.30,
2.000,21.414,0.181,0.3483,378.100,998.050,-1.959,2.49,2.49,1.14,94.45,8.331,8.31,
2.100,21.410,0.181,0.3484,378.250,998.051,-1.958,2.59,2.59,1.28,94.24,8.314,8.30,
2.200,21.397,0.181,0.3484,378.396,998.055,-1.955,2.62,2.62,1.22,94.34,8.324,8.31,
2.300,21.389,0.181,0.3485,378.525,998.057,-1.953,2.61,2.61,1.18,94.26,8.318,8.27,
2.400,21.377,0.181,0.3484,378.517,998.060,-1.951,2.68,2.68,1.15,94.17,8.311,8.29,
2.500,21.367,0.181,0.3481,378.346,998.063,-1.949,2.79,2.79,1.29,93.95,8.293,8.30,
2.600,21.353,0.181,0.3479,378.232,998.066,-1.945,2.78,2.78,1.27,93.96,8.297,8.31,
2.700,21.342,0.181,0.3476,378.024,998.069,-1.943,2.80,2.80,1.21,93.75,8.282,8.31,
2.800,21.329,0.181,0.3474,377.884,998.072,-1.940,2.78,2.78,1.24,93.84,8.291,8.30,
2.900,21.320,0.181,0.3473,377.846,998.075,-1.938,2.75,2.75,1.27,93.93,8.299,8.29,
3.000,21.313,0.180,0.3471,377.684,998.076,-1.937,2.80,2.80,1.27,94.02,8.308,8.29,
3.100,21.305,0.180,0.3469,377.573,998.079,-1.935,2.77,2.77,1.31,94.25,8.330,8.29,
3.200,21.295,0.180,0.3467,377.458,998.081,-1.933,2.81,2.81,3.66,94.33,8.338,8.29,
3.300,21.289,0.180,0.3467,377.500,998.083,-1.932,2.76,2.76,1.46,94.47,8.352,8.27,
3.400,21.284,0.180,0.3467,377.572,998.085,-1.931,2.87,2.87,1.15,94.62,8.366,8.30,
3.500,21.275,0.180,0.3466,377.545,998.087,-1.929,2.85,2.85,1.29,94.62,8.369,8.28,
3.600,21.266,0.180,0.3465,377.513,998.090,-1.927,2.84,2.84,1.15,94.59,8.367,8.30,
3.700,21.262,0.180,0.3465,377.577,998.091,-1.926,2.93,2.93,1.29,94.41,8.354,8.29,
3.800,21.255,0.180,0.3464,377.526,998.093,-1.924,2.84,2.84,1.27,94.65,8.374,8.30,
3.900,21.246,0.180,0.3464,377.549,998.095,-1.922,2.84,2.84,1.50,94.69,8.378,8.30,
4.000,21.237,0.180,0.3462,377.466,998.098,-1.920,2.92,2.92,2.60,94.56,8.368,8.31,
4.100,21.230,0.181,0.3467,378.040,998.100,-1.919,3.03,3.03,1.28,94.47,8.363,8.29,
4.200,21.223,0.181,0.3466,378.053,998.102,-1.917,2.99,2.99,1.20,94.20,8.341,8.30,
4.300,21.203,0.180,0.3458,377.349,998.106,-1.913,2.84,2.84,1.27,94.18,8.339,8.29,
4.400,21.192,0.180,0.3457,377.329,998.109,-1.911,2.80,2.80,1.39,94.22,8.345,8.30,
4.500,21.179,0.180,0.3455,377.195,998.112,-1.908,2.70,2.70,1.33,94.10,8.336,8.29,
4.600,21.172,0.180,0.3456,377.398,998.115,-1.906,2.76,2.76,1.11,93.64,8.301,8.29,
4.700,21.173,0.180,0.3456,377.318,998.115,-1.906,2.77,2.77,1.13,93.49,8.285,8.30,
4.800,21.160,0.180,0.3453,377.213,998.118,-1.904,2.79,2.79,1.15,93.44,8.282,8.28,
4.900,21.106,0.180,0.3455,377.834,998.130,-1.892,2.89,2.89,1.32,93.54,8.299,8.29,
5.000,21.034,0.181,0.3456,378.620,998.147,-1.876,3.35,3.35,1.33,93.61,8.317,8.30,
5.100,20.586,0.186,0.3518,389.652,998.248,-1.775,6.53,6.53,1.74,93.66,8.391,8.28,
5.200,19.696,0.193,0.3582,405.518,998.439,-1.585,6.06,6.06,1.70,92.61,8.449,8.30,
5.300,19.372,0.195,0.3588,409.485,998.506,-1.518,6.03,6.03,1.63,90.70,8.331,8.30,
5.400,19.144,0.196,0.3588,411.820,998.552,-1.472,6.13,6.13,1.68,82.78,7.634,8.29,
5.500,18.967,0.196,0.3577,412.427,998.588,-1.437,5.84,5.84,1.65,74.61,6.911,8.30,
5.600,18.669,0.196,0.3568,414.527,998.647,-1.378,5.70,5.70,1.67,68.81,6.419,8.30,
5.700,18.213,0.198,0.3552,417.590,998.735,-1.291,5.48,5.48,1.63,63.21,5.952,8.27,
5.800,17.515,0.198,0.3511,420.354,998.864,-1.162,5.15,5.15,1.74,54.89,5.249,8.31,
5.900,16.954,0.199,0.3483,423.211,998.965,-1.062,5.01,5.01,1.77,49.34,4.765,8.31,
6.000,16.222,0.200,0.3444,426.851,999.090,-0.937,5.05,5.05,1.84,41.43,4.063,8.31,
6.100,15.640,0.201,0.3407,429.063,999.185,-0.842,4.97,4.97,1.86,34.52,3.424,8.30,
