//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0188
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=160       
StartTime=2021/07/25 16:02:00
EndTime=2021/07/25 16:03:44
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2021/03/10
Ch1=-3.831851e-01,+1.127922e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.332465e+00,+1.069077e-03,-1.252241e-08,+2.876596e-13,-3.472084e-18,+2.511402e-23,+0.000000e+00,+0.000000e+00,
Ch4=-5.72848200e-01,2.197348000e00,-2.07220400e-01,5.839104000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.654597e+00,+7.041750e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.997533e+00,+1.378983e-02,+8.086082e-08,-6.134221e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.141224e+01,+2.110549e+06,-6.080616e+03,+1.064000e-02,+3.900000e-03,+6.760000e-05,+0.000000e+00,+1.000000e+00,
Ch9=-6.053177e+00,+1.066339e-03,-1.261943e-08,+2.927030e-13,-3.579377e-18,+2.588549e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070304000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=200735BA
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],DO [mg/l],Batt. [V],
0.000,25.257,0.309,0.6381,634.510,997.214,-2.786,2.64,2.64,2.36,115.87,9.491,7.98,
0.100,25.244,0.308,0.6376,634.226,997.217,-2.783,3.12,3.12,2.52,121.99,9.995,7.95,
0.200,25.234,0.309,0.6379,634.635,997.221,-2.780,3.18,3.18,2.66,124.53,10.205,7.94,
0.300,25.230,0.309,0.6377,634.519,997.222,-2.779,3.33,3.33,2.78,126.08,10.330,7.94,
0.400,25.217,0.309,0.6377,634.681,997.226,-2.776,3.35,3.35,2.85,127.63,10.461,7.92,
0.500,25.216,0.309,0.6376,634.537,997.227,-2.776,3.52,3.52,2.89,129.07,10.578,7.92,
0.600,25.215,0.309,0.6377,634.714,997.227,-2.775,3.59,3.59,3.09,129.60,10.622,7.92,
0.700,25.207,0.309,0.6377,634.798,997.230,-2.773,3.58,3.58,3.05,129.78,10.638,7.91,
0.800,25.208,0.309,0.6376,634.733,997.230,-2.773,3.71,3.71,2.89,130.14,10.668,7.91,
0.900,25.163,0.309,0.6369,634.631,997.242,-2.762,3.82,3.82,2.95,130.23,10.681,7.93,
1.000,25.131,0.309,0.6367,634.902,997.251,-2.754,3.89,3.89,2.82,130.51,10.716,7.91,
1.100,25.094,0.309,0.6363,635.017,997.261,-2.744,3.95,3.95,2.77,130.75,10.738,7.92,
1.200,25.058,0.309,0.6360,635.203,997.271,-2.735,4.03,4.03,2.62,130.48,10.720,7.93,
1.300,24.999,0.309,0.6353,635.279,997.286,-2.719,4.15,4.15,2.77,130.56,10.740,7.92,
1.400,24.914,0.309,0.6344,635.594,997.309,-2.698,3.95,3.95,2.59,130.72,10.766,7.93,
1.500,24.896,0.309,0.6344,635.895,997.314,-2.693,3.92,3.92,2.73,130.59,10.764,7.91,
1.600,24.772,0.310,0.6338,637.044,997.346,-2.661,4.13,4.13,2.46,129.83,10.706,7.92,
1.700,24.715,0.309,0.6313,635.237,997.360,-2.647,4.43,4.43,2.82,129.71,10.725,7.92,
1.800,24.611,0.309,0.6306,636.004,997.388,-2.620,4.19,4.19,3.06,129.34,10.720,7.91,
1.900,24.638,0.309,0.6312,636.264,997.381,-2.627,4.18,4.18,2.89,128.67,10.665,7.91,
2.000,24.572,0.309,0.6299,635.854,997.398,-2.611,4.09,4.09,2.78,128.65,10.671,7.92,
