//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0188
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=2
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=95        
StartTime=2021/07/30 11:41:28
EndTime=2021/07/30 11:41:51
DepAdjRho=1.0000
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2021/03/10
Ch1=-3.831851e-01,+1.127922e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.332465e+00,+1.069077e-03,-1.252241e-08,+2.876596e-13,-3.472084e-18,+2.511402e-23,+0.000000e+00,+0.000000e+00,
Ch4=-5.72848200e-01,2.197348000e00,-2.07220400e-01,5.839104000e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.654597e+00,+7.041750e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.997533e+00,+1.378983e-02,+8.086082e-08,-6.134221e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.141224e+01,+2.110549e+06,-6.080616e+03,+1.064000e-02,+3.900000e-03,+6.760000e-05,+0.000000e+00,+1.000000e+00,
Ch9=-6.053177e+00,+1.066339e-03,-1.261943e-08,+2.927030e-13,-3.579377e-18,+2.588549e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070304000202020302
BuzzerNumber=1
DepM=0.1
CondDepB=0
FilmNo=200735BA
[Item]
Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],DO [mg/l],Batt. [V],
3.600,23.810,0.230,0.4650,477.537,997.536,-2.480,1.23,1.23,1.95,133.38,10.928,8.35,
3.700,23.807,0.230,0.4650,477.508,997.537,-2.480,1.18,1.18,1.97,134.25,10.999,8.35,
3.800,23.807,0.230,0.4650,477.516,997.537,-2.480,1.14,1.14,1.95,135.45,11.098,8.35,
3.900,23.805,0.230,0.4649,477.498,997.538,-2.479,1.12,1.12,1.89,136.59,11.192,8.35,
4.000,23.802,0.230,0.4649,477.508,997.539,-2.479,1.15,1.15,1.88,137.08,11.231,8.36,
4.100,23.800,0.230,0.4649,477.507,997.540,-2.478,1.19,1.19,1.84,138.19,11.322,8.34,
4.200,23.771,0.230,0.4643,477.155,997.547,-2.471,1.18,1.18,1.77,139.80,11.455,8.33,
4.300,23.725,0.230,0.4647,478.129,997.559,-2.460,1.26,1.26,1.77,140.34,11.499,8.35,
4.400,23.589,0.232,0.4673,482.245,997.595,-2.425,1.49,1.49,1.81,141.48,11.593,8.36,
4.500,23.348,0.236,0.4720,489.811,997.656,-2.364,1.90,1.90,1.89,142.65,11.688,8.36,
4.600,23.121,0.238,0.4746,495.101,997.713,-2.308,2.30,2.30,1.97,143.65,11.772,8.33,
4.700,23.044,0.240,0.4777,499.142,997.733,-2.288,2.24,2.24,2.04,143.88,11.791,8.35,
4.800,22.949,0.242,0.4795,502.122,997.757,-2.264,2.25,2.25,2.09,145.01,11.883,8.35,
4.900,22.814,0.242,0.4794,503.575,997.790,-2.232,2.35,2.35,2.07,146.31,11.989,8.35,
5.000,22.652,0.244,0.4812,507.405,997.830,-2.192,2.77,2.77,2.18,147.36,12.077,8.36,
5.100,22.436,0.245,0.4808,509.599,997.881,-2.141,2.85,2.85,2.03,147.98,12.127,8.37,
5.200,22.293,0.246,0.4805,510.956,997.915,-2.108,2.89,2.89,1.96,148.75,12.190,8.35,
5.300,21.885,0.248,0.4799,515.200,998.010,-2.014,2.76,2.76,1.97,149.79,12.276,8.35,
5.400,21.150,0.250,0.4773,521.424,998.176,-1.848,3.49,3.49,2.04,151.06,12.380,8.35,
5.500,20.697,0.251,0.4741,523.665,998.275,-1.749,4.77,4.77,2.38,152.26,12.479,8.35,
5.600,20.046,0.251,0.4674,524.594,998.413,-1.612,6.51,6.51,2.32,153.16,12.553,8.33,
5.700,19.396,0.253,0.4641,529.417,998.547,-1.478,7.75,7.75,2.11,154.56,12.669,8.33,
5.800,18.949,0.253,0.4608,531.574,998.637,-1.389,8.43,8.43,2.24,155.61,12.754,8.36,
5.900,18.541,0.253,0.4563,531.910,998.716,-1.310,7.68,7.68,2.63,156.43,12.823,8.36,
6.000,18.087,0.254,0.4524,533.523,998.803,-1.224,7.61,7.61,2.42,157.57,12.917,8.36,
6.100,17.717,0.254,0.4492,534.900,998.872,-1.156,7.32,7.32,2.84,158.74,13.014,8.32,
6.200,17.355,0.253,0.4444,534.306,998.937,-1.091,10.23,10.23,3.33,159.58,13.085,8.33,
6.300,16.933,0.253,0.4406,535.641,999.012,-1.017,10.18,10.18,3.63,160.52,13.163,8.35,
6.400,16.558,0.254,0.4372,536.935,999.077,-0.952,8.63,8.63,3.21,161.39,13.235,8.33,
6.500,16.025,0.255,0.4335,540.158,999.167,-0.863,6.82,6.82,3.14,162.92,13.365,8.35,
6.600,15.725,0.255,0.4310,541.518,999.216,-0.814,6.49,6.49,2.89,163.64,13.425,8.36,
6.700,15.477,0.254,0.4275,540.845,999.255,-0.775,6.12,6.12,2.60,164.37,13.487,8.33,
6.800,15.161,0.254,0.4235,540.473,999.304,-0.727,5.55,5.55,2.14,166.04,13.626,8.34,
6.900,14.779,0.253,0.4188,540.306,999.362,-0.669,5.64,5.64,2.06,166.72,13.683,8.32,
7.000,14.421,0.253,0.4154,541.415,999.415,-0.617,5.94,5.94,2.20,168.31,13.816,8.34,
7.100,14.098,0.255,0.4141,544.807,999.463,-0.570,6.08,6.08,2.48,169.32,13.899,8.34,
7.200,13.803,0.257,0.4144,549.790,999.506,-0.527,6.21,6.21,2.67,170.82,14.026,8.35,
7.300,13.602,0.256,0.4109,548.389,999.533,-0.501,6.68,6.68,2.78,171.66,14.100,8.35,
7.400,13.448,0.256,0.4095,549.106,999.554,-0.480,6.82,6.82,2.98,172.33,14.158,8.36,
7.500,13.186,0.256,0.4067,549.591,999.589,-0.446,7.70,7.70,3.52,173.82,14.283,8.36,
7.600,13.032,0.256,0.4057,550.759,999.610,-0.426,7.89,7.89,3.80,174.84,14.370,8.34,
7.700,12.943,0.256,0.4051,551.387,999.621,-0.414,8.11,8.11,3.98,175.13,14.395,8.34,
7.800,12.744,0.257,0.4042,553.440,999.647,-0.389,9.01,9.01,4.64,176.34,14.497,8.35,
7.900,12.638,0.257,0.4036,554.419,999.661,-0.375,9.80,9.80,4.98,177.16,14.565,8.34,
8.000,12.444,0.257,0.4023,555.826,999.686,-0.351,12.63,12.63,5.56,178.65,14.690,8.33,
8.100,12.340,0.258,0.4024,557.712,999.699,-0.338,13.58,13.58,5.57,179.42,14.754,8.34,
8.200,12.251,0.259,0.4032,560.374,999.711,-0.327,13.38,13.38,5.50,180.41,14.837,8.35,
8.300,12.090,0.261,0.4040,564.284,999.732,-0.307,15.17,15.17,5.65,182.18,14.984,8.35,
8.400,12.022,0.261,0.4037,564.957,999.740,-0.299,19.29,19.29,5.91,182.82,15.038,8.34,
8.500,11.884,0.263,0.4056,570.093,999.758,-0.281,18.20,18.20,5.92,183.07,15.062,8.33,
8.600,11.716,0.266,0.4080,576.506,999.780,-0.260,12.54,12.54,5.49,185.08,15.230,8.33,
8.700,11.554,0.268,0.4093,581.164,999.800,-0.241,10.70,10.70,5.52,186.37,15.339,8.32,
8.800,11.385,0.271,0.4119,587.971,999.821,-0.220,10.13,10.13,5.49,188.00,15.476,8.33,
8.900,11.313,0.272,0.4129,590.853,999.830,-0.212,9.76,9.76,5.52,188.77,15.541,8.35,
9.000,11.205,0.276,0.4179,600.007,999.845,-0.197,8.76,8.76,5.33,190.05,15.650,8.35,
9.100,11.120,0.281,0.4231,609.141,999.857,-0.185,7.93,7.93,5.50,190.92,15.725,8.35,
9.200,10.998,0.283,0.4254,614.721,999.872,-0.171,7.58,7.58,5.86,191.90,15.810,8.35,
9.300,10.861,0.290,0.4343,630.422,999.892,-0.151,16.90,16.90,104.61,194.25,16.013,8.35,
9.400,10.728,0.345,0.5124,746.932,999.949,-0.094,0.07,0.07,1.24,195.98,16.170,8.34,
